document_id,filename,document_type,issuer,insurer,product,year,category,source_url
DOC001,1_motor_policy.pdf,policy,HDFC ERGO,HDFC ERGO,Private Car Own Damage,,motor,
DOC002,2_motor_policy.pdf,policy,HDFC ERGO,HDFC ERGO,Two Wheeler Package,,motor,
DOC003,3_motor_policy.pdf,policy,HDFC ERGO,HDFC ERGO,Private Car Bundled,,motor,
DOC004,1_health_policy.pdf,policy,HDFC ERGO,HDFC ERGO,my: Optima Secure,2026,health,
DOC005,"IRDAI (Insurance Products) Regulations, 2024.pdf",regulation,IRDAI,,Insurance Products,2024,regulatory,
DOC006,"IRDAI (Protection of Policyholder's Interests, operations and allied matters of insurers) Regulations, 2024.pdf",regulation,IRDAI,,Policyholder Protection,2024,regulatory,
DOC007,"IRDAI (Rural, social sector and Motor third party obligations) Regulations, 2024.pdf",regulation,IRDAI,,Motor Third Party,2024,regulatory,
DOC008,Master Circular on Recent Developments in Motor Insurance products bearing.pdf,master_circular,IRDAI,,Motor Insurance,2020,regulatory,
DOC009,Motor Insurance_FAQ.pdf,faq,IRDAI,,Motor Insurance,,faq,
DOC010,Master Circular on Protection of Policyholders' interests 2024.pdf,master_circular,IRDAI,,Policyholder Protection,2024,claims_and_servicing,
DOC011,Guidelines on Motor Insurance Service Provider.pdf,guideline,IRDAI,,Motor Insurance Service Provider,,regulatory,
